query,superpathway,pathway,subpathway,function,id,description,V2,V3
Ga0242637_113142,Experimental Subsystems,Clustering-based subsystems,Lipopolysaccharide biosynthesis 2,UDP-N-acetyl-D-mannosamine dehydrogenase (EC 1.1.1.-),SS21348,UDP-N-acetyl-D-mannosamine dehydrogenase (EC 1.1.1.-),57.6,6.20E-137
Ga0242637_113143,Cell Wall and Capsule,Capsular and extracellular polysacchrides,Vibrio Polysaccharide (VPS) Biosynthesis,UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14),SS21351,UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14),70.075,2.28E-114
Ga0242637_113144,Protein Metabolism,Protein folding,Protein chaperones,"HspR, transcriptional repressor of DnaK operon",SS18153,"HspR, transcriptional repressor of DnaK operon",67.5,2.18E-35
Ga0242637_113145,Protein Metabolism,Protein folding,Protein chaperones,Chaperone protein DnaJ,SS16813,Chaperone protein DnaJ,62,1.27E-81
Ga0242637_113146,Protein Metabolism,Protein folding,Protein chaperones,Heat shock protein GrpE,SS18060,Heat shock protein GrpE,63.07142857,7.47E-37
Ga0242637_113147,Protein Metabolism,Protein folding,Protein chaperones,Chaperone protein DnaK,SS16814,Chaperone protein DnaK,84.91428571,2.19E-247
Ga0242637_113148,Iron acquisition and metabolism,unclassified,Iron acquisition in Vibrio,Bacterioferritin,SS16530,Bacterioferritin,48.8,2.49E-30
Ga0242637_113150,Experimental Subsystems,unclassified,Experimental-FO,"Glycosyl transferase, group 1",SS18027,"Glycosyl transferase, group 1",96,0
Ga0242637_113154,Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Methionine Biosynthesis,O-acetylhomoserine sulfhydrylase (EC 2.5.1.49),SS08134,O-acetylhomoserine sulfhydrylase (EC 2.5.1.49),72.2375,1.01E-134
Ga0242637_113154,Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Methionine Biosynthesis,O-succinylhomoserine sulfhydrylase (EC 2.5.1.48),SS08135,O-succinylhomoserine sulfhydrylase (EC 2.5.1.48),73.48333333,1.35E-134
Ga0242637_113156,Miscellaneous,Plant-Prokaryote DOE project,At5g38900,2-hydroxychromene-2-carboxylate isomerase/DsbA-like thioredoxin domain,SS01026,2-hydroxychromene-2-carboxylate isomerase/DsbA-like thioredoxin domain,57.94285714,7.49E-52
Ga0242637_113157,Potassium metabolism,unclassified,Glutathione-regulated potassium-efflux system and associated functions,Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2),SS19715,Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2),70.2,2.17E-30
Ga0242637_113161,"Fatty Acids, Lipids, and Isoprenoids",Fatty acids,Fatty Acid Biosynthesis FASII,Enoyl-[acyl-carrier-protein] reductase [FMN] (EC 1.3.1.9),SS05325,Enoyl-[acyl-carrier-protein] reductase [FMN] (EC 1.3.1.9),68.44,9.80E-147
Ga0242637_113162,Carbohydrates,Fermentation,Fermentations: Mixed acid,L-lactate dehydrogenase (EC 1.1.1.27),SS18508,L-lactate dehydrogenase (EC 1.1.1.27),74.05,2.33E-110
Ga0242637_113163,Miscellaneous,unclassified,Carbonate Biomineralization,"Transcriptional regulator, TetR family",SS21142,"Transcriptional regulator, TetR family",65.31666667,6.43E-52
Ga0242637_113164,"Fatty Acids, Lipids, and Isoprenoids",Fatty acids,Acyl-CoA thioesterase II,TesB-like acyl-CoA thioesterase 5,SS00233,TesB-like acyl-CoA thioesterase 5,60.21666667,2.06E-72
Ga0242637_113165,unclassified,unclassified,CBSS-227321.4.peg.3751,Mobile element protein,SS18898,Mobile element protein,55.1,1.79E-135
Ga0242637_113170,Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Methionine Salvage,Aspartate/tyrosine/aromatic aminotransferase,SS16491,Aspartate/tyrosine/aromatic aminotransferase,100,1.90E-236
Ga0242637_113170,Experimental Subsystems,unclassified,ZZ gjo scratch,Aspartate aminotransferase (EC 2.6.1.1),SS16487,Aspartate aminotransferase (EC 2.6.1.1),74.1,1.40E-178
Ga0242637_113174,Membrane Transport,unclassified,ECF class transporters,Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine,SS04865,Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine,56.675,1.28E-103
Ga0242637_113174,Experimental Subsystems,unclassified,Transporters In Models,Transmembrane component YkoC of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine,SS21181,Transmembrane component YkoC of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine,54.1,1.50E-189
Ga0242637_113175,unclassified,unclassified,Thiamin biosynthesis LDP,Substrate-specific component YkoE of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine,SS20762,Substrate-specific component YkoE of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine,77.4,1.80E-56
Ga0242637_113179,Experimental Subsystems,unclassified,SA hypothetical,"Pyruvate,phosphate dikinase (EC 2.7.9.1)",SS20297,"Pyruvate,phosphate dikinase (EC 2.7.9.1)",67.775,5.64E-274
Ga0242637_113182,Regulation and Cell signaling,unclassified,cAMP signaling in bacteria,Predicted signal-transduction protein containing cAMP-binding and CBS domains,SS19911,Predicted signal-transduction protein containing cAMP-binding and CBS domains,57.1,5.20E-11
Ga0242637_113183,Amino Acids and Derivatives,Histidine Metabolism,Histidine transporter and regulator,Imidazolonepropionase (EC 3.5.2.7),SS18292,Imidazolonepropionase (EC 3.5.2.7),69.85,5.83E-125
Ga0242637_113184,Amino Acids and Derivatives,Histidine Metabolism,Histidine Degradation,Formiminoglutamic iminohydrolase (EC 3.5.3.13),SS17788,Formiminoglutamic iminohydrolase (EC 3.5.3.13),67.425,1.65E-129
Ga0242637_113185,Amino Acids and Derivatives,Histidine Metabolism,Histidine Degradation,N-formylglutamate deformylase (EC 3.5.1.68) [alternative form],SS05195,N-formylglutamate deformylase (EC 3.5.1.68) [alternative form],69.35,3.17E-114
Ga0242637_113188,Nucleosides and Nucleotides,unclassified,Hydantoin metabolism,Urocanate hydratase (EC 4.2.1.49),SS21498,Urocanate hydratase (EC 4.2.1.49),87.18333333,1.55E-266
Ga0242637_113189,Amino Acids and Derivatives,Histidine Metabolism,Histidine transporter and regulator,Histidine ammonia-lyase (EC 4.3.1.3),SS18118,Histidine ammonia-lyase (EC 4.3.1.3),78.71666667,5.10E-202
Ga0242637_113190,Metabolism of Aromatic Compounds,Metabolism of central aromatic intermediates,Homogentisate pathway of aromatic compound degradation,"Transcriptional regulator, IclR family",SS06517,"Transcriptional regulator, IclR family",70.1,1.03E-62
Ga0242637_113192,Miscellaneous,unclassified,ZZ gjo need homes,Quinone oxidoreductase (EC 1.6.5.5),SS20321,Quinone oxidoreductase (EC 1.6.5.5),99.7,1.40E-168
Ga0242637_113196,Iron acquisition and metabolism,unclassified,"Heme, hemin uptake and utilization systems in GramPositives",Hemoglobin-dependent two component system response regulator HrrA,SS06370,Hemoglobin-dependent two component system response regulator HrrA,61.83333333,9.29E-57
Ga0242637_113198,unclassified,unclassified,DUF89 RZ,metallophosphoesterase,SS21797,metallophosphoesterase,29,1.70E-15
Ga0242637_113199,Carbohydrates,Central carbohydrate metabolism,"Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate",Acetyl-coenzyme A synthetase (EC 6.2.1.1),SS16252,Acetyl-coenzyme A synthetase (EC 6.2.1.1),79.5,2.88E-225
Ga0242637_113201,DNA Metabolism,DNA repair,DNA Repair Base Excision,DNA-3-methyladenine glycosylase (EC 3.2.2.20),SS17105,DNA-3-methyladenine glycosylase (EC 3.2.2.20),80.38333333,2.05E-81
Ga0242637_113202,Regulation and Cell signaling,Regulation of virulence,Streptococcus pyogenes virulence regulators,Negative transcriptional regulator,SS19074,Negative transcriptional regulator,49.5,1.90E-46
Ga0242637_113204,unclassified,unclassified,Family 23 FUPA23 P-type ATPase,Outer membrane protein romA,SS19219,Outer membrane protein romA,45.675,4.28E-88
Ga0242637_113205,Experimental Subsystems,unclassified,Potassium homeostasis Pavel,Osmosensitive K+ channel histidine kinase KdpD (EC 2.7.3.-),SS09988,Osmosensitive K+ channel histidine kinase KdpD (EC 2.7.3.-),51.5,2.60E-113
Ga0242637_113210,unclassified,unclassified,"Niacin, NAD and NADP biosynthesis in plants",Glutamine amidotransferase chain of NAD synthetase,SS08409,Glutamine amidotransferase chain of NAD synthetase,80.08333333,5.79E-157
Ga0242637_113210,unclassified,unclassified,"Niacin, NAD and NADP biosynthesis in plants",NAD synthetase (EC 6.3.1.5),SS19012,NAD synthetase (EC 6.3.1.5),80.08333333,5.79E-157
Ga0242637_113211,unclassified,unclassified,"Niacin, NAD and NADP biosynthesis in plants",Glutamine amidotransferase chain of NAD synthetase,SS08409,Glutamine amidotransferase chain of NAD synthetase,79.15,1.20E-121
Ga0242637_113211,unclassified,unclassified,"Niacin, NAD and NADP biosynthesis in plants",NAD synthetase (EC 6.3.1.5),SS19012,NAD synthetase (EC 6.3.1.5),79.15,1.20E-121
Ga0242637_113214,Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Threonine degradation,2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29),SS15929,2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29),80.6,4.00E-158
Ga0242637_113215,RNA Metabolism,Transcription,"Transcription initiation, bacterial sigma factors",RNA polymerase sigma-54 factor RpoN,SS20340,RNA polymerase sigma-54 factor RpoN,51.9,6.40E-05
Ga0242637_113217,unclassified,unclassified,YjeF AMarbaix bis,putative hydrolase,SS21922,putative hydrolase,99.6,1.50E-103
Ga0242637_113217,unclassified,unclassified,Quinone disambuiguation,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)",SS07899,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)",37,2.70E-07
Ga0242637_113217,unclassified,unclassified,NADPHX,alpha/beta hydrolase fold,SS21613,alpha/beta hydrolase fold,43.1,3.40E-07
Ga0242637_113218,Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Threonine degradation,L-threonine 3-dehydrogenase (EC 1.1.1.103),SS18522,L-threonine 3-dehydrogenase (EC 1.1.1.103),75.1,2.60E-133
Ga0242637_113219,"Cofactors, Vitamins, Prosthetic Groups, Pigments",Folate and pterines,YgfZ-Iron,Ferric uptake regulation protein FUR,SS15431,Ferric uptake regulation protein FUR,38.05,1.80E-22
Ga0242637_113224,Stress Response,Oxidative stress,Regulation of Oxidative Stress Response,Superoxide dismutase [Mn] (EC 1.15.1.1),SS20817,Superoxide dismutase [Mn] (EC 1.15.1.1),81.66666667,6.77E-82
Ga0242637_113225,unclassified,unclassified,Que-2 2,"COG0553: Superfamily II DNA/RNA helicases, SNF2 family",SS16671,"COG0553: Superfamily II DNA/RNA helicases, SNF2 family",44.8,2.70E-227
Ga0242637_113228,Metabolism of Aromatic Compounds,Metabolism of central aromatic intermediates,Salicylate and gentisate catabolism,putative 4-hydroxybenzoyl-CoA thioesterase,SS05781,putative 4-hydroxybenzoyl-CoA thioesterase,58.75,6.35E-42
Ga0242637_113230,Clustering-based subsystems,unclassified,Staphylococcus aureus hypothetical repetitive gene loci,Alcohol dehydrogenase (EC 1.1.1.1),SS16334,Alcohol dehydrogenase (EC 1.1.1.1),64.9,1.40E-107
Ga0242637_113232,unclassified,unclassified,Iron-sulfur experimental,"2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)",SS05333,"2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)",79.4,2.57E-262
Ga0242637_113234,unclassified,unclassified,Experimental tye,"transmembrane protein, distant homology with ydbS",SS22050,"transmembrane protein, distant homology with ydbS",76.85,3.50E-36
Ga0242637_113235,unclassified,unclassified,Experimental tye,"transmembrane protein, distant homology with ydbT",SS22051,"transmembrane protein, distant homology with ydbT",52.66,1.98E-79
Ga0242637_113237,Miscellaneous,Plant-Prokaryote DOE project,YebC,Pterin-4-alpha-carbinolamine dehydratase (EC 4.2.1.96),SS20067,Pterin-4-alpha-carbinolamine dehydratase (EC 4.2.1.96),53.9,1.49E-52
Ga0242637_113241,Clustering-based subsystems,"Tricarboxilate (malonate, propionate?) transport",CBSS-314288.3.peg.1460,two-component response regulator,SS22061,two-component response regulator,70.3,2.90E-75
Ga0242637_113243,unclassified,unclassified,Gra,"Transcriptional regulator, MarR family",SS21137,"Transcriptional regulator, MarR family",71.73333333,5.00E-21
Ga0242637_113246,Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Methionine Salvage,Aspartate/tyrosine/aromatic aminotransferase,SS16491,Aspartate/tyrosine/aromatic aminotransferase,71.45,1.38E-126
Ga0242637_113248,Experimental Subsystems,unclassified,Transporters In Models,Formate efflux transporter (TC 2.A.44 family),SS05374,Formate efflux transporter (TC 2.A.44 family),60.05454545,7.24E-82
Ga0242637_113250,Metabolism of Aromatic Compounds,Metabolism of central aromatic intermediates,Protocatechuate branch of beta-ketoadipate pathway,Beta-ketoadipate enol-lactone hydrolase (EC 3.1.1.24),SS16561,Beta-ketoadipate enol-lactone hydrolase (EC 3.1.1.24),44,2.50E-70
Ga0242637_113250,unclassified,unclassified,NADPHX,alpha/beta hydrolase fold,SS21613,alpha/beta hydrolase fold,44,2.50E-70
Ga0242637_113252,"Virulence, Disease and Defense",Resistance to antibiotics and toxic compounds,Copper homeostasis,Multicopper oxidase,SS04014,Multicopper oxidase,60.975,9.50E-209
Ga0242637_113255,unclassified,unclassified,YggS,"N-acetyl-L,L-diaminopimelate deacetylase (EC 3.5.1.47)",SS07598,"N-acetyl-L,L-diaminopimelate deacetylase (EC 3.5.1.47)",59.875,1.85E-111
Ga0242637_113256,"Cofactors, Vitamins, Prosthetic Groups, Pigments",Folate and pterines,YgfZ-Iron,"Transcriptional regulator, FUR family",SS15440,"Transcriptional regulator, FUR family",100,3.20E-80
Ga0242637_113257,Stress Response,Oxidative stress,Protection from Reactive Oxygen Species,Catalase (EC 1.11.1.6),SS16770,Catalase (EC 1.11.1.6),86.62,4.18E-240
Ga0242637_113260,Regulation and Cell signaling,unclassified,Two-component sensor regulator linked to Carbon Starvation Protein A,Carbon starvation protein A,SS16759,Carbon starvation protein A,77.51428571,1.70E-297
Ga0242637_113265,Sulfur Metabolism,unclassified,Thioredoxin-disulfide reductase,"Thiol peroxidase, Tpx-type (EC 1.11.1.15)",SS21040,"Thiol peroxidase, Tpx-type (EC 1.11.1.15)",82.1,5.50E-53
Ga0242637_113266,Carbohydrates,unclassified,Sugar utilization in Thermotogales,Glycerol kinase (EC 2.7.1.30),SS17994,Glycerol kinase (EC 2.7.1.30),79.75,5.45E-217
Ga0242637_113268,Carbohydrates,unclassified,Sugar utilization in Thermotogales,Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3),SS18001,Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3),74.85,2.33E-208
Ga0242637_113270,Regulation and Cell signaling,unclassified,cAMP signaling in bacteria,Predicted signal-transduction protein containing cAMP-binding and CBS domains,SS19911,Predicted signal-transduction protein containing cAMP-binding and CBS domains,62.63333333,4.33E-128
Ga0242637_113271,DNA Metabolism,DNA replication,DNA-replication,DNA polymerase III epsilon subunit (EC 2.7.7.7),SS04656,DNA polymerase III epsilon subunit (EC 2.7.7.7),73.4,1.95E-40
Ga0242637_113272,DNA Metabolism,DNA repair,DNA Repair Base Excision,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23),SS04611,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23),62.48333333,1.20E-71
Ga0242637_113274,unclassified,unclassified,YgfZ-Fe-S,Dihydrofolate reductase (EC 1.5.1.3),SS17167,Dihydrofolate reductase (EC 1.5.1.3),87.7,1.85E-75
Ga0242637_113277,unclassified,unclassified,Que-2 2,"COG0553: Superfamily II DNA/RNA helicases, SNF2 family",SS16671,"COG0553: Superfamily II DNA/RNA helicases, SNF2 family",66.8,0
Ga0242637_113279,Metabolism of Aromatic Compounds,Metabolism of central aromatic intermediates,Salicylate and gentisate catabolism,Putative n-hydroxybenzoate hydroxylase,SS20171,Putative n-hydroxybenzoate hydroxylase,76.2,6.26E-158
Ga0242637_113280,Stress Response,Oxidative stress,Glutathione analogs: mycothiol,"Maleylpyruvate isomerase, mycothiol-dependent (EC 5.2.1.4)",SS05887,"Maleylpyruvate isomerase, mycothiol-dependent (EC 5.2.1.4)",94.6,6.30E-126
Ga0242637_113281,Metabolism of Aromatic Compounds,Metabolism of central aromatic intermediates,Salicylate and gentisate catabolism,Fumarylacetoacetate hydrolase family protein,SS17823,Fumarylacetoacetate hydrolase family protein,62.1,3.00E-90
Ga0242637_113282,Metabolism of Aromatic Compounds,Metabolism of central aromatic intermediates,Salicylate and gentisate catabolism,"Gentisate 1,2-dioxygenase (EC 1.13.11.4)",SS17882,"Gentisate 1,2-dioxygenase (EC 1.13.11.4)",81.44,1.07E-174
Ga0242637_113283,Metabolism of Aromatic Compounds,Peripheral pathways for catabolism of aromatic compounds,Benzoate degradation,benzoate MFS transporter BenK,SS01384,benzoate MFS transporter BenK,67.575,7.53E-105
Ga0242637_113284,Metabolism of Aromatic Compounds,Metabolism of central aromatic intermediates,Homogentisate pathway of aromatic compound degradation,"Transcriptional regulator, IclR family",SS06517,"Transcriptional regulator, IclR family",98.8,8.90E-142
Ga0242637_113286,Clustering-based subsystems,unclassified,CBSS-1352.1.peg.856,"Transcriptional regulator, PadR family",SS21140,"Transcriptional regulator, PadR family",63.63333333,7.28E-27
Ga0242637_113294,Experimental Subsystems,Pyrimidines,pyrimidine conversions v2,5'-nucleotidase (EC 3.1.3.5),SS16083,5'-nucleotidase (EC 3.1.3.5),57.25,1.01E-07
Ga0242637_113294,Experimental Subsystems,Pyrimidines,pyrimidine conversions v2,"2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)",SS15908,"2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)",54.5,8.90E-07
Ga0242637_113298,Membrane Transport,ABC transporters,ABC transporter oligopeptide (TC 3.A.1.5.1),Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1),SS00123,Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1),84.26666667,2.53E-151
Ga0242637_113299,Membrane Transport,ABC transporters,ABC transporter oligopeptide (TC 3.A.1.5.1),Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1),SS00122,Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1),87.55,1.45E-140
Ga0242637_113300,unclassified,unclassified,Family 23 FUPA23 P-type ATPase,Dipeptide transport system permease protein DppC (TC 3.A.1.5.2),SS00112,Dipeptide transport system permease protein DppC (TC 3.A.1.5.2),79.56666667,7.29E-111
Ga0242637_113301,Experimental Subsystems,unclassified,Transporters In Models,Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1),SS00124,Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1),99.7,7.40E-157
Ga0242637_113302,Regulation and Cell signaling,unclassified,Sex pheromones in Enterococcus faecalis and other Firmicutes,"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)",SS19179,"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)",84.85,1.85E-222
Ga0242637_113303,DNA Metabolism,DNA repair,"DNA repair, bacterial",Endonuclease IV (EC 3.1.21.2),SS04532,Endonuclease IV (EC 3.1.21.2),73.7,4.67E-89
Ga0242637_113304,Cell Wall and Capsule,Cell wall of Mycobacteria,mycolic acid synthesis,PROBABLE DAUNORUBICIN-DIM-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER DRRC,SS08369,PROBABLE DAUNORUBICIN-DIM-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER DRRC,73.48,8.18E-76
Ga0242637_113307,Carbohydrates,unclassified,Sugar utilization in Thermotogales,Alpha-galactosidase (EC 3.2.1.22),SS16383,Alpha-galactosidase (EC 3.2.1.22),61.5,4.17E-205
Ga0242637_113308,DNA Metabolism,DNA repair,"DNA repair, bacterial",DNA polymerase-like protein MT3142,SS04524,DNA polymerase-like protein MT3142,84.15,1.45E-130
Ga0242637_113316,Membrane Transport,Protein translocation across cytoplasmic membrane,ESAT-6 proteins secretion system in Actinobacteria,RD1 region associated protein Rv3876,SS05031,RD1 region associated protein Rv3876,43.4,1.70E-64
Ga0242637_113318,unclassified,unclassified,Putative oxidase COG2907,Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79),SS16951,Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79),64.54285714,2.38E-134
Ga0242637_113321,Experimental Subsystems,Pyrimidines,pyrimidine conversions v2,Thioredoxin reductase (EC 1.8.1.9),SS21044,Thioredoxin reductase (EC 1.8.1.9),57.55,4.41E-36
Ga0242637_113321,Experimental Subsystems,unclassified,CBSS-190486.1.peg.2083,Methyltransferase type 12,SS18861,Methyltransferase type 12,48,2.60E-43
Ga0242637_113323,Experimental Subsystems,unclassified,At5g47760,"Hypothetical NagD-like phosphatase, Actinobacterial subfamily",SS18214,"Hypothetical NagD-like phosphatase, Actinobacterial subfamily",76.26666667,7.00E-49
Ga0242637_113325,Miscellaneous,unclassified,Carbonate Biomineralization,"Transcriptional regulator, TetR family",SS21142,"Transcriptional regulator, TetR family",29,5.10E-16
Ga0242637_113326,DNA Metabolism,DNA repair,Uracil-DNA glycosylase,"Uracil-DNA glycosylase, family 5",SS14990,"Uracil-DNA glycosylase, family 5",73.9,2.57E-96
Ga0242637_113328,Clustering-based subsystems,Putative asociate of RNA polymerase sigma-54 factor rpoN,CBSS-316057.3.peg.1308,"RNA polymerase sigma-70 factor, ECF subfamily",SS02465,"RNA polymerase sigma-70 factor, ECF subfamily",50.35,1.50E-31
Ga0242637_113331,unclassified,unclassified,YjeF AMarbaix bis,putative hydrolase,SS21922,putative hydrolase,70.36666667,7.33E-58
Ga0242637_113338,Clustering-based subsystems,Pyruvate kinase associated cluster,CBSS-288000.5.peg.1793,putative esterase,SS02393,putative esterase,36.1,4.50E-38
Ga0242637_113339,Carbohydrates,One-carbon Metabolism,Serine-glyoxylate cycle,Glyoxalase family protein,SS18030,Glyoxalase family protein,35,2.11E-07
Ga0242637_113348,unclassified,unclassified,CBSS-227321.4.peg.3751,Mobile element protein,SS18898,Mobile element protein,48.3,3.60E-87
Ga0242637_113348,Experimental Subsystems,Transposable elements,Transposases,Transposase,SS21203,Transposase,41.5,6.80E-62
Ga0242637_113359,unclassified,unclassified,CBSS-227321.4.peg.3751,Mobile element protein,SS18898,Mobile element protein,79.85,1.00E-110
Ga0242637_113365,Carbohydrates,CO2 fixation,Photorespiration (oxidative C2 cycle),Phosphoglycolate phosphatase (EC 3.1.3.18),SS19695,Phosphoglycolate phosphatase (EC 3.1.3.18),71,8.40E-05
Ga0242637_113366,"Fatty Acids, Lipids, and Isoprenoids",Isoprenoids,polyprenyl synthesis,Isopentenyl-diphosphate delta-isomerase (EC 5.3.3.2),SS18462,Isopentenyl-diphosphate delta-isomerase (EC 5.3.3.2),64.3,8.79E-51
Ga0242637_113369,Secondary Metabolism,Biosynthesis of phenylpropanoids,Flavanone biosynthesis,Chalcone synthase (EC 2.3.1.74),SS05483,Chalcone synthase (EC 2.3.1.74),82.55,8.50E-123
Ga0242637_113371,DNA Metabolism,DNA repair,Nonhomologous End-Joining in Bacteria,ATP-dependent DNA ligase (EC 6.5.1.1) LigC,SS16190,ATP-dependent DNA ligase (EC 6.5.1.1) LigC,78.51428571,3.37E-149
Ga0242637_113372,Carbohydrates,Sugar alcohols,Inositol utilization,Inositol-1-monophosphatase (EC 3.1.3.25),SS18408,Inositol-1-monophosphatase (EC 3.1.3.25),73.1,8.33E-74
Ga0242637_113373,unclassified,unclassified,CBSS-227321.4.peg.3751,putative transcriptional regulator,SS21935,putative transcriptional regulator,100,6.30E-114
Ga0242637_113374,Metabolism of Aromatic Compounds,Anaerobic degradation of aromatic compounds,Anaerobic benzoate metabolism,Glutaryl-CoA dehydrogenase (EC 1.3.99.7),SS00537,Glutaryl-CoA dehydrogenase (EC 1.3.99.7),81.3625,1.90E-170
Ga0242637_113377,unclassified,unclassified,CBSS-227321.4.peg.3751,putative transcriptional regulator,SS21935,putative transcriptional regulator,37.9,4.60E-55
Ga0242637_113379,Amino Acids and Derivatives,Proline and 4-hydroxyproline,"Proline, 4-hydroxyproline uptake and utilization",Ornithine aminotransferase (EC 2.6.1.13),SS19192,Ornithine aminotransferase (EC 2.6.1.13),77.95,5.52E-156
Ga0242637_113379,unclassified,unclassified,PROSC YggS,Acetylornithine aminotransferase (EC 2.6.1.11),SS16253,Acetylornithine aminotransferase (EC 2.6.1.11),70.3,6.20E-158
Ga0242637_113379,unclassified,unclassified,YggS,"N-succinyl-L,L-diaminopimelate aminotransferase (EC 2.6.1.17)",SS19003,"N-succinyl-L,L-diaminopimelate aminotransferase (EC 2.6.1.17)",70.3,6.20E-158
Ga0242637_113379,Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine and Ornithine Degradation,Succinylornithine transaminase (EC 2.6.1.81),SS20781,Succinylornithine transaminase (EC 2.6.1.81),70.3,6.20E-158
Ga0242637_113382,unclassified,unclassified,The One P-type ATPase Subsystem,Ca ion P-type ATPase,SS16714,Ca ion P-type ATPase,59.575,9.25E-279
Ga0242637_113391,Clustering-based subsystems,unclassified,CBSS-83332.1.peg.3803,Transposase for insertion sequence element IS1557,SS02724,Transposase for insertion sequence element IS1557,99.8,2.00E-244
Ga0242637_113391,unclassified,unclassified,CBSS-227321.4.peg.3751,Mobile element protein,SS18898,Mobile element protein,73.65,3.65E-162
Ga0242637_113391,Experimental Subsystems,Transposable elements,Transposases,transposase,SS22053,transposase,65.4,7.30E-162
Ga0242637_113397,Metabolism of Aromatic Compounds,Peripheral pathways for catabolism of aromatic compounds,n-Phenylalkanoic acid degradation,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),SS18642,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),70.825,1.98E-163
Ga0242637_113397,unclassified,unclassified,luxHR LAO 2,Acetoacetyl-CoA synthetase (EC 6.2.1.16),SS16224,Acetoacetyl-CoA synthetase (EC 6.2.1.16),59.4,7.90E-163
Ga0242637_113401,Respiration,Electron donating reactions,Respiratory dehydrogenases 1,L-lactate dehydrogenase (EC 1.1.2.3),SS18509,L-lactate dehydrogenase (EC 1.1.2.3),66.01428571,5.09E-133
Ga0242637_113403,Sulfur Metabolism,Organic sulfur assimilation,Alkanesulfonate assimilation,"ABC-type nitrate/sulfonate/bicarbonate transport system, permease component",SS00412,"ABC-type nitrate/sulfonate/bicarbonate transport system, permease component",35.7,3.40E-32
Ga0242637_113404,unclassified,unclassified,WhiB and WhiB-type regulatory proteins 2,WhiB-family transcriptional regulator,SS15207,WhiB-family transcriptional regulator,71.93333333,2.46E-26
Ga0242637_113408,Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Threonine degradation,Threonine dehydrogenase and related Zn-dependent dehydrogenases,SS13565,Threonine dehydrogenase and related Zn-dependent dehydrogenases,73.81666667,1.43E-116
Ga0242637_113418,unclassified,unclassified,CBSS-227321.4.peg.3751,Mobile element protein,SS18898,Mobile element protein,55.1,1.79E-135
Ga0242637_113419,unclassified,unclassified,YggSProC,Threonine dehydratase (EC 4.3.1.19),SS21053,Threonine dehydratase (EC 4.3.1.19),89.3,2.50E-229
Ga0242637_113419,unclassified,unclassified,YggSProC,Threonine dehydratase biosynthetic (EC 4.3.1.19),SS01715,Threonine dehydratase biosynthetic (EC 4.3.1.19),65.825,6.13E-188
